epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0948,0.82667,2.20731,1.00184,0.67492,0.61305,0.61104,0.47951,0.72591,1.71134,0.92886,0.000405983,0.000405983,0.000405983
2,14.3939,0.77928,0.95059,0.99139,0.69704,0.65262,0.70056,0.48464,0.86924,2.73911,1.21886,0.000795502,0.000795502,0.000795502
3,18.6524,0.81846,0.8824,1.02974,0.65907,0.56536,0.57741,0.43824,0.8245,3.41114,1.06322,0.00115752,0.00115752,0.00115752
4,22.6611,0.79154,0.80393,0.98887,0.84106,0.47307,0.55067,0.37654,0.84199,1.19826,1.05468,0.00112625,0.00112625,0.00112625
5,26.8935,0.78434,0.74316,1.00455,0.6423,0.6672,0.63901,0.45847,0.79558,0.87132,1.00596,0.001085,0.001085,0.001085
6,31.0664,0.75997,0.70051,0.9897,0.87951,0.68004,0.78276,0.59782,0.73357,0.77244,1.00056,0.00104375,0.00104375,0.00104375
7,35.2724,0.73202,0.65166,0.9727,0.84072,0.67165,0.80259,0.61773,0.71353,0.71353,0.96504,0.0010025,0.0010025,0.0010025
8,39.5282,0.71845,0.61963,0.9742,0.92115,0.75324,0.8502,0.67227,0.705,0.61423,0.96712,0.00096125,0.00096125,0.00096125
9,43.7517,0.72953,0.61939,0.98147,0.92202,0.70444,0.82407,0.65532,0.71012,0.64496,0.96091,0.00092,0.00092,0.00092
10,47.8537,0.69815,0.56077,0.95451,0.9516,0.74908,0.86588,0.69891,0.66196,0.52886,0.93307,0.00087875,0.00087875,0.00087875
11,52.249,0.67208,0.53846,0.95007,0.78331,0.87559,0.90159,0.72999,0.67159,0.49489,0.93282,0.0008375,0.0008375,0.0008375
12,56.3936,0.66939,0.50228,0.9324,0.85694,0.85227,0.89661,0.74718,0.63113,0.46327,0.91654,0.00079625,0.00079625,0.00079625
13,60.5864,0.6459,0.50933,0.93991,0.80332,0.88219,0.88528,0.7093,0.61036,0.47925,0.90106,0.000755,0.000755,0.000755
14,64.9486,0.64333,0.4848,0.91927,0.97139,0.78516,0.91916,0.72883,0.64774,0.4568,0.91142,0.00071375,0.00071375,0.00071375
15,69.0865,0.63784,0.48262,0.92457,0.95988,0.78975,0.88101,0.74007,0.6064,0.46588,0.88865,0.0006725,0.0006725,0.0006725
16,73.2228,0.59585,0.44343,0.91661,0.87974,0.84589,0.88277,0.72281,0.63122,0.45787,0.90991,0.00063125,0.00063125,0.00063125
17,77.5244,0.59904,0.42887,0.91267,0.96376,0.82261,0.90205,0.76121,0.56984,0.42854,0.87325,0.00059,0.00059,0.00059
18,81.7845,0.60339,0.43958,0.91796,0.90295,0.90364,0.93588,0.77224,0.58769,0.40505,0.8769,0.00054875,0.00054875,0.00054875
19,85.96,0.579,0.40943,0.89684,0.94922,0.87905,0.918,0.7472,0.58055,0.41531,0.89887,0.0005075,0.0005075,0.0005075
20,90.2107,0.57904,0.40326,0.9107,0.94237,0.85925,0.93442,0.75334,0.59299,0.39422,0.90139,0.00046625,0.00046625,0.00046625
21,95.744,0.5563,0.37337,0.88142,0.96574,0.86981,0.94083,0.73165,0.60646,0.4024,0.90883,0.000425,0.000425,0.000425
22,99.7971,0.54746,0.35503,0.86125,0.97483,0.84589,0.89951,0.75805,0.60438,0.39249,0.89251,0.00038375,0.00038375,0.00038375
23,103.911,0.55185,0.35125,0.8844,0.97573,0.87954,0.92555,0.76119,0.59465,0.38885,0.88822,0.0003425,0.0003425,0.0003425
24,107.973,0.54488,0.35837,0.87807,0.94597,0.88455,0.91647,0.74536,0.60332,0.40603,0.88756,0.00030125,0.00030125,0.00030125
25,112.124,0.52431,0.33797,0.86349,0.97259,0.91355,0.93083,0.77315,0.57376,0.35418,0.87799,0.00026,0.00026,0.00026
26,116.395,0.52167,0.3269,0.86426,0.96507,0.87908,0.93522,0.78743,0.55829,0.33404,0.87306,0.00021875,0.00021875,0.00021875
27,120.606,0.50148,0.30701,0.85254,0.98403,0.86226,0.94177,0.7899,0.56576,0.34207,0.8636,0.0001775,0.0001775,0.0001775
28,124.792,0.5017,0.30314,0.8515,0.96945,0.87982,0.94938,0.77931,0.57041,0.338,0.86999,0.00013625,0.00013625,0.00013625
29,129.016,0.49304,0.29111,0.84299,0.99183,0.86078,0.93732,0.78537,0.54908,0.32565,0.86111,9.5e-05,9.5e-05,9.5e-05
30,133.074,0.48957,0.29079,0.85025,0.97907,0.88495,0.9182,0.78485,0.5493,0.32365,0.8609,5.375e-05,5.375e-05,5.375e-05
